"","year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
"95",1976,"IOWA","IA",19,42,31,"US PRESIDENT","JULIUS """"JULES"""", LEVIN","SOCIALIST LABOR",FALSE,160,1279303,20210113,NA,"OTHER"
"96",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,502752,957845,20210113,NA,"REPUBLICAN"
"97",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,430421,957845,20210113,NA,"DEMOCRAT"
"98",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,13185,957845,20210113,NA,"OTHER"
"99",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,4724,957845,20210113,NA,"OTHER"
"100",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","MACBRIDE, ROGER","INDEPENDENT",FALSE,3242,957845,20210113,NA,"OTHER"
"101",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","MADDOX, LESTER","CONSERVATIVE",FALSE,2118,957845,20210113,NA,"OTHER"
"102",1976,"KANSAS","KS",20,47,32,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,1403,957845,20210113,NA,"OTHER"
"103",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,615717,1167142,20210113,NA,"DEMOCRAT"
"104",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,531852,1167142,20210113,NA,"REPUBLICAN"
"105",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,8308,1167142,20210113,NA,"OTHER"
"106",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,6837,1167142,20210113,NA,"OTHER"
"107",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,2328,1167142,20210113,NA,"OTHER"
"108",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,814,1167142,20210113,NA,"LIBERTARIAN"
"109",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,510,1167142,20210113,NA,"OTHER"
"110",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,426,1167142,20210113,NA,"OTHER"
"111",1976,"KENTUCKY","KY",21,61,51,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,350,1167142,20210113,NA,"OTHER"
"112",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,661365,1277383,20210113,NA,"DEMOCRAT"
"113",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,587446,1277383,20210113,NA,"REPUBLICAN"
"114",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,10058,1277383,20210113,NA,"OTHER"
"115",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,7417,1277383,20210113,NA,"OTHER"
"116",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,6490,1277383,20210113,NA,"OTHER"
