year,state,new_party,region,party_total
1984,NEBRASKA,Republican,Midwest,0.7055069085555675
1984,NEBRASKA,Third_Party,Midwest,0.0063948228005336685
1984,NEVADA,Democrat,Rocky Mountain,0.32419345140193195
1984,NEVADA,Republican,Rocky Mountain,0.6676995016217631
1984,NEVADA,Third_Party,Rocky Mountain,0.008107046976304927
1984,NEW HAMPSHIRE,Democrat,Northeast,0.30945168987719335
1984,NEW HAMPSHIRE,Republican,Northeast,0.6866733178367926
1984,NEW HAMPSHIRE,Third_Party,Northeast,0.003874992286014029
1984,NEW JERSEY,Democrat,Northeast,0.3919754793710855
1984,NEW JERSEY,Republican,Northeast,0.6009051973018109
1984,NEW JERSEY,Third_Party,Northeast,0.007119323327103523
1984,NEW MEXICO,Democrat,Southwest,0.392264323347007
1984,NEW MEXICO,Republican,Southwest,0.5970429846219647
1984,NEW MEXICO,Third_Party,Southwest,0.01069269203102825
1984,NEW YORK,Democrat,Northeast,0.4409238688901262
1984,NEW YORK,Republican,Northeast,0.49605013214707033
1984,NEW YORK,Third_Party,Northeast,0.06302599896280343
1984,NORTH CAROLINA,Democrat,Southeast,0.37891963678672186
1984,NORTH CAROLINA,Republican,Southeast,0.6189689895148437
1984,NORTH CAROLINA,Third_Party,Southeast,0.0021113736984344207
1984,NORTH DAKOTA,Democrat,Midwest,0.33798964951403204
1984,NORTH DAKOTA,Republican,Midwest,0.6483974224118121
1984,NORTH DAKOTA,Third_Party,Midwest,0.013612928074155825
1984,OHIO,Democrat,Midwest,0.40003199484576185
1984,OHIO,Republican,Midwest,0.5869868634861014
1984,OHIO,Third_Party,Midwest,0.01298114166813675
1984,OKLAHOMA,Democrat,Southwest,0.30667146620625063
1984,OKLAHOMA,Republican,Southwest,0.6861085184394701
1984,OKLAHOMA,Third_Party,Southwest,0.007220015354279289
1984,OREGON,Democrat,Pacific,0.43739681230009614
1984,OREGON,Republican,Pacific,0.559058218856984
1984,OREGON,Third_Party,Pacific,0.003544968842919887
1984,PENNSYLVANIA,Democrat,Northeast,0.45989176666694875
1984,PENNSYLVANIA,Republican,Northeast,0.5334106792230928
1984,PENNSYLVANIA,Third_Party,Northeast,0.006697554109958446
1984,RHODE ISLAND,Democrat,Northeast,0.4801736465532572
1984,RHODE ISLAND,Republican,Northeast,0.5166520905554107
1984,RHODE ISLAND,Third_Party,Northeast,0.0031742628913320452
1984,SOUTH CAROLINA,Democrat,Southeast,0.3556517151267541
1984,SOUTH CAROLINA,Republican,Southeast,0.6355400819180427
1984,SOUTH CAROLINA,Third_Party,Southeast,0.008808202955203199
1984,SOUTH DAKOTA,Democrat,Midwest,0.365287997810405
1984,SOUTH DAKOTA,Republican,Midwest,0.6300339450147389
1984,SOUTH DAKOTA,Third_Party,Midwest,0.004678057174856151
1984,TENNESSEE,Democrat,Southeast,0.4157224941924412
1984,TENNESSEE,Republican,Southeast,0.5783972247550078
1984,TENNESSEE,Third_Party,Southeast,0.005880281052551033
1984,TEXAS,Democrat,Southwest,0.36113948292667203
1984,TEXAS,Republican,Southwest,0.636106129961051
1984,TEXAS,Third_Party,Southwest,0.002754387112276985
1984,UTAH,Democrat,Rocky Mountain,0.246752194849251
1984,UTAH,Republican,Rocky Mountain,0.7450179145438144
1984,UTAH,Third_Party,Rocky Mountain,0.00822989060693458
1984,VERMONT,Democrat,Northeast,0.408124112704158
1984,VERMONT,Republican,Northeast,0.579230988953833
1984,VERMONT,Third_Party,Northeast,0.012644898342009114
1984,VIRGINIA,Democrat,Southeast,0.3709293848278818
1984,VIRGINIA,Republican,Southeast,0.622871610683698
1984,VIRGINIA,Third_Party,Southeast,0.006199004488420249
1984,WASHINGTON,Democrat,Pacific,0.42580817212559535
1984,WASHINGTON,Republican,Pacific,0.5609175907110208
1984,WASHINGTON,Third_Party,Pacific,0.013274237163383844
1984,WEST VIRGINIA,Democrat,Southeast,0.44597834567008543
1984,WEST VIRGINIA,Republican,Southeast,0.551121181066189
1984,WEST VIRGINIA,Third_Party,Southeast,0.0029004732637255993
1984,WISCONSIN,Democrat,Midwest,0.4502170060980545
1984,WISCONSIN,Republican,Midwest,0.5419315283477921
1984,WISCONSIN,Third_Party,Midwest,0.007851465554153409
1984,WYOMING,Democrat,Rocky Mountain,0.28242877100884806
1984,WYOMING,Republican,Rocky Mountain,0.7050982176876508
1984,WYOMING,Third_Party,Rocky Mountain,0.012473011303501123
1988,ALABAMA,Democrat,Southeast,0.39863298309147205
1988,ALABAMA,Republican,Southeast,0.5916504893810266
1988,ALABAMA,Third_Party,Southeast,0.009716527527501385
